"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.000000,0.061,-4.978
0.212765,0.061,-4.496
0.425530,0.060,-4.012
0.638295,0.059,-3.528
0.851060,0.060,-3.050
1.063825,0.059,-2.570
1.276590,0.057,-2.087
1.489355,0.056,-1.605
1.702120,0.055,-1.122
1.914885,0.052,-0.637
2.127650,0.048,-0.157
2.340415,0.040,0.314
2.553180,0.039,0.796
2.765945,0.040,1.278
2.978710,0.039,1.760
3.191475,0.039,2.243
3.404240,0.040,2.726
3.617005,0.040,3.203
3.829770,0.039,3.682
4.042535,0.039,4.165
4.255300,0.039,4.646
4.468065,0.039,5.128
4.680830,0.040,5.501
