"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.000000,0.038,-4.999
0.212765,0.038,-4.516
0.425530,0.038,-4.032
0.638295,0.039,-3.548
0.851060,0.038,-3.069
1.063825,0.038,-2.590
1.276590,0.037,-2.107
1.489355,0.038,-1.624
1.702120,0.038,-1.141
1.914885,0.039,-0.657
2.127650,0.039,-0.176
2.340415,0.039,0.295
2.553180,0.039,0.777
2.765945,0.039,1.259
2.978710,0.039,1.741
3.191475,0.039,2.224
3.404240,0.039,2.707
3.617005,0.039,3.185
3.829770,0.039,3.664
4.042535,0.039,4.146
4.255300,0.039,4.628
4.468065,0.039,5.109
4.680830,0.039,5.499
