"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.000000,2.811,-4.968
0.212765,2.812,-4.485
0.425530,2.812,-4.001
0.638295,2.812,-3.517
0.851060,2.812,-3.038
1.063825,2.812,-2.559
1.276590,2.812,-2.076
1.489355,2.813,-1.593
1.702120,2.813,-1.110
1.914885,2.812,-0.626
2.127650,2.813,-0.145
2.340415,2.015,0.326
2.553180,0.313,0.808
2.765945,-0.050,1.290
2.978710,-0.103,1.773
3.191475,-0.111,2.255
3.404240,-0.110,2.739
3.617005,-0.107,3.216
3.829770,-0.108,3.695
4.042535,-0.113,4.177
4.255300,-0.112,4.658
4.468065,-0.109,5.140
4.680830,-0.105,5.501
