"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.000000,0.256,-4.875
0.212765,0.281,-4.391
0.425530,0.245,-3.908
0.638295,0.194,-3.424
0.851060,0.203,-2.946
1.063825,0.230,-2.464
1.276590,0.195,-1.982
1.489355,0.131,-1.499
1.702120,0.118,-1.016
1.914885,0.131,-0.529
2.127650,0.082,-0.054
2.340415,-0.005,0.421
2.553180,-0.020,0.903
2.765945,0.018,1.386
2.978710,0.018,1.868
3.191475,-0.029,2.352
3.404240,-0.037,2.834
3.617005,0.007,3.311
3.829770,0.017,3.791
4.042535,-0.028,4.273
4.255300,-0.045,4.756
4.468065,-0.005,5.239
4.680830,0.053,5.479
