"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.000000,0.017,-4.558
0.212765,0.022,-4.075
0.425530,0.027,-3.589
0.638295,0.019,-3.110
0.851060,0.009,-2.631
1.063825,0.014,-2.148
1.276590,0.021,-1.665
1.489355,0.014,-1.181
1.702120,0.004,-0.697
1.914885,0.007,-0.215
2.127650,0.014,0.255
2.340415,0.010,0.737
2.553180,-0.001,1.220
2.765945,0.001,1.702
2.978710,0.010,2.185
3.191475,0.007,2.669
3.404240,-0.004,3.147
3.617005,-0.004,3.625
3.829770,0.006,4.107
4.042535,0.005,4.590
4.255300,-0.006,5.072
4.468065,0.008,5.493
4.680830,0.055,5.200
