"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.000000,6.211,-4.959
0.212765,6.211,-4.477
0.425530,6.211,-3.993
0.638295,6.211,-3.509
0.851060,6.211,-3.030
1.063825,6.211,-2.551
1.276590,6.211,-2.068
1.489355,6.211,-1.585
1.702120,6.211,-1.101
1.914885,6.211,-0.617
2.127650,6.211,-0.137
2.340415,6.159,0.335
2.553180,2.438,0.817
2.765945,-0.924,1.299
2.978710,-1.402,1.781
3.191475,-1.505,2.263
3.404240,-1.512,2.747
3.617005,-1.492,3.224
3.829770,-1.463,3.703
4.042535,-1.521,4.185
4.255300,-1.526,4.667
4.468065,-1.505,5.149
4.680830,-1.440,5.501
